📊 Azure Table Audit Report
--------------------------------------------------
Schema          | Table Name                          |        Count
----------------------------------------------------------------------
public          | ads_advertisement                   |            0
public          | auth_group                          |            0
public          | auth_group_permissions              |            0
public          | auth_permission                     |          232
public          | common_city                         |          793
public          | common_contactmessage               |            0
public          | common_make                         |           54
public          | common_model                        |          597
public          | common_part                         |          111
public          | common_state                        |           58
public          | django_admin_log                    |            0
public          | django_content_type                 |           58
public          | django_migrations                   |           78
public          | django_session                      |            1
public          | hollander_association               |            0
public          | hollander_country                   |            2
public          | hollander_index                     |    1,649,379
public          | hollander_interchange               |            0
public          | hollander_legacy_account            |            0
public          | hollander_legacy_user               |            0
public          | hollander_make                      |           56
public          | hollander_make_model_ref            |            0
public          | hollander_model                     |        1,293
public          | hollander_part_pricing              |            0
public          | hollander_part_ref                  |            0
public          | hollander_part_specification        |            0
public          | hollander_part_type                 |          378
public          | hollander_preset_location_group     |            0
public          | hollander_preset_location_item      |            0
public          | hollander_preset_make_group         |            0
public          | hollander_preset_make_item          |            0
public          | hollander_preset_model_group        |            0
public          | hollander_preset_model_item         |            0
public          | hollander_preset_part_group         |            0
public          | hollander_preset_part_item          |            0
public          | hollander_preset_vehicle_group      |            0
public          | hollander_preset_vehicle_item       |            0
public          | hollander_profile_visit             |    1,250,341
public          | hollander_state                     |           68
public          | hollander_vehicle_image             |            0
public          | hollander_vendor                    |        6,567
public          | hollander_vendor_detail             |            0
public          | hollander_vendor_hours              |            0
public          | hollander_vendor_rating             |            0
public          | hollander_yard_make                 |       69,916
public          | hollander_yard_part                 |      347,404
public          | hollander_year_range                |            0
public          | hollander_zipcode                   |      924,270
public          | leads_lead                          |            0
public          | leads_vendorlead                    |            0
public          | token_blacklist_blacklistedtoken    |            0
public          | token_blacklist_outstandingtoken    |            0
public          | users                               |            1
public          | users_groups                        |            0
public          | users_user_permissions              |            0
public          | vendor_business_hours               |            0
public          | vendor_import_batch                 |            0
public          | vendor_import_record                |            0
public          | vendor_inventory                    |            0
public          | vendor_notifications                |            0
public          | vendor_profiles                     |            0
public          | yard_submissions_yardsubmission     |            0
