Yard ID,Name,Status,Filename
410,#1 A.B.C. Auto Parts,No Match Found,
9997333,#1 A.B.C. Auto Parts,No Match Found,
411,#1 Auto,No Match Found,
9997167,#1 Auto,No Match Found,
412,#1 Auto Parts,No Match Found,
9997168,#1 Auto Parts,No Match Found,
6481441,#1 Morgan Highway Auto Parts,No Match Found,
5714374,#1 Tow Junk Cars for Cash,No Match Found,
415,1 Stop Parts,No Match Found,
9997169,1 Stop Parts,Matched,1-stop-parts-9997169.jpg
417,1-800-GOT-JUNK? Boston Central,No Match Found,
9999250,1-800-GOT-JUNK? Boston Central,Matched,1-800-got-junk-boston-central-9999250.jpg
416,1-800-Got-Junk Connecticut,No Match Found,
10000873,1-800-Got-Junk Connecticut No,No Match Found,
10000899,1-800MrJunker Warehouse Outlet,Matched,1-800mrjunker-warehouse-outlet-10000899.jpg
10000518,1-866-JUNKRUN,No Match Found,
4691010,"10-10 Express Tow & Auto Recycle, LTD",No Match Found,
418,"10-10 Express Tow & Auto Recycle, LTD",No Match Found,
3951141,100 Mile New & Used Auto Parts,No Match Found,
419,100 Mile New & Used Auto Parts,No Match Found,
420,"109 U-Pull-It, Inc.",No Match Found,
9997170,"109 U-Pull-It, Inc.",Matched,109-u-pull-it-inc-9997170.png
1112188,111 Salvage LLC,No Match Found,
421,11th Avenue Auto & Truck Recyclers,No Match Found,
9997171,11th Avenue Auto & Truck Recyclers,No Match Found,
422,1st Choice Auto Parts,No Match Found,
9997172,1st Choice Auto Parts,No Match Found,
423,1st Choice Used Auto Parts,No Match Found,
9997164,1st Choice Used Auto Parts,No Match Found,
424,1st Class Auto Salvage,No Match Found,
9997173,1st Class Auto Salvage,No Match Found,
425,2020 Import Auto Parts,No Match Found,
9997174,2020 Import Auto Parts,Matched,2020-import-auto-parts-9997174.gif
426,205 Auto Salvage,No Match Found,
9997175,205 Auto Salvage,Matched,205-auto-salvage-9997175.png
427,"2060 Auto Parts, Inc.",No Match Found,
9997176,"2060 Auto Parts, Inc.",No Match Found,
2582020,20th Street Auto Parts,Matched,20th-street-auto-parts-2582020.jpg
429,21 Towing Barnhart,No Match Found,
9997086,21 Towing Barnhart,No Match Found,
9427177,21 Towing Imperial,No Match Found,
431,216 Reliable Auto Parts,No Match Found,
9997177,216 Reliable Auto Parts,No Match Found,
432,239 Auto Dismantlers,No Match Found,
9997178,239 Auto Dismantlers,No Match Found,
433,"2470 Used Auto Parts, LLC",No Match Found,
9997179,"2470 Used Auto Parts, LLC",No Match Found,
434,250 East Auto Recycling,No Match Found,
9997180,250 East Auto Recycling,No Match Found,
8442717,271 Auto Salvage,No Match Found,
3333844,2nd Time Auto Parts,No Match Found,
436,2nd Time Auto Parts,No Match Found,
6595301,301 Auto Parts,Matched,301-auto-parts-6595301.png
438,306 Auto Parts & Wrecking,No Match Found,
9997335,306 Auto Parts & Wrecking,No Match Found,
439,311 Auto Parts,No Match Found,
9997182,311 Auto Parts,No Match Found,
9988661,3M Auto Dismantlers,No Match Found,
440,3M Auto Dismantlers,No Match Found,
441,4 A's Auto Parts,No Match Found,
9997183,4 A's Auto Parts,No Match Found,
442,4 Brothers Auto Salvage,No Match Found,
9997184,4 Brothers Auto Salvage,No Match Found,
2564479,4-Auto Parts LLC,Matched,4-auto-parts-llc-2564479.jpg
444,4-Lane Auto Salvage,No Match Found,
