vendor_id,vendor_name,city,state,logo_filename,notes
410,#1 A.B.C. Auto Parts,Orlando,FL,,
411,#1 Auto,Geneva,NY,,
412,#1 Auto Parts,Woodruff,SC,,
413,#1 Morgan Highway Auto Parts,Scranton,PA,,
414,#1 Tow Junk Cars for Cash,Manassas,VA,,
415,1 Stop Parts,Labelle,FL,,
417,1-800-GOT-JUNK? Boston Central,Charlestown,MA,,
416,1-800-Got-Junk Connecticut,Wallingford,CT,,
418,"10-10 Express Tow & Auto Recycle, LTD",Brookings,OR,,
419,100 Mile New & Used Auto Parts,100 Mile House,BC,,
420,"109 U-Pull-It, Inc.",Winston Salem,NC,,
345,111 Salvage LLC,Granite City,IL,,
421,11th Avenue Auto & Truck Recyclers,Hialeah,FL,,
422,1st Choice Auto Parts,Phoenix,AZ,,
423,1st Choice Used Auto Parts,Orlando,FL,,
424,1st Class Auto Salvage,Trenton,NJ,,
425,2020 Import Auto Parts,Fort Wayne,IN,,
426,205 Auto Salvage,Portland,OR,,
427,"2060 Auto Parts, Inc.",Buffalo,NY,,
428,20th Street Auto Parts,Phoenix,AZ,,
429,21 Towing Barnhart,Barnhart,MO,,
430,21 Towing Imperial,Imperial,MO,,
431,216 Reliable Auto Parts,Kings Mountain,NC,,
432,239 Auto Dismantlers,West Portsmouth,OH,,
433,"2470 Used Auto Parts, LLC",Huntsville,MO,,
434,250 East Auto Recycling,Louisa,VA,,
435,271 Auto Salvage,Gladewater,TX,,
436,2nd Time Auto Parts,Philadelphia,PA,,
437,301 Auto Parts,Olanta,SC,,
438,306 Auto Parts & Wrecking,Novelty,OH,,
439,311 Auto Parts,Sophia,NC,,
440,3M Auto Dismantlers,San Jose,CA,,
441,4 A's Auto Parts,Philadelphia,PA,,
442,4 Brothers Auto Salvage,Lincoln,NE,,
443,4-Auto Parts LLC,Kansas City,MO,,
444,4-Lane Auto Salvage,Nashville,TN,,
445,404 Auto Recycling,Sharon,ON,,
446,406 Auto Parts Inc.,Thorold,ON,,
447,41-A Auto Parts & Sales,Shelbyville,TN,,
448,410 Auto Wrecking LLC,Buckley,WA,,
449,411 Used Parts & Autos,Centre,AL,,
450,422 Auto Sales,Warren,OH,,
451,45 Auto & Truck Salvage,Milan,TN,,
452,"489 Parts, LLC",Olyphant,PA,,
453,495 Truck & Auto Recyclers,Lawrence,MA,,
456,4X4 Used Parts,Fort Collins,CO,,
454,4urParts,Jacksonville,FL,,
455,4x4 Truck & Auto Parts,Winnebago,MN,,
457,5 J's Auto Parts,Albuquerque,NM,,
458,5 Mile Auto Wrecking,Prince Albert,SK,,
459,5 Star Auto Sales,Hialeah,FL,,
460,"52 Auto Salvage, LLC",Salters,SC,,
461,5th Street Auto,Philadelphia,PA,,
462,64-40 Auto Salvage,Russellville,AR,,
463,66 Truck & Foreign Salvage,Joplin,MO,,
464,67 Motors Automotive & Scrap Metal Recycling Yard,Pfafftown,NC,,
465,70 East Auto Salvage,Marion,NC,,
466,74 Auto,Sikeston,MO,,
467,76 Auto Salvage,Willow Springs,MO,,
468,78 West Inc.,Oxford,AL,,
469,7th Avenue Auto Salvage,Fargo,ND,,
470,81 Auto Parts & Recycling,Salem,VA,,
471,969 Auto Salvage,Austin,TX,,
472,97 Auto Wrecking & Shull's Towing,Brewster,WA,,
473,99 Auto Dismantler,Stockton,CA,,
474,99 We Tow It,Bronx,NY,,
475,A & A Auto & Truck,Utica,MI,,
476,A & A Auto & Truck LLC,Orlando,FL,,
477,A & A Auto & Truck Salvage,Wichita,KS,,
375,"A & A Auto & Truck Salvage, Inc.",Berea,KY,,
478,A & A Auto And Truck Parts Inc.,Topeka,KS,,
479,A & A Auto And Truck Parts Inc.,Topeka,KS,,
480,A & A Auto Parts & Sales,Brentwood,CA,,
481,A & A Auto Parts and Salvage,Oklahoma City,OK,,
482,A & A Auto Parts and Towing,Providence,RI,,
483,A & A Auto Recycling,Bradenton,FL,,
